,S1_BSA_Blank_U13C_labeled_glucose,S1_BSA_Blank_unlabeled_glucose,S2_SA_Blank_U13C_labeled_glucose,S2_SA_Blank_unlabeled_glucose,S3_LPS853_BSA_unlabeled_glucose8h,S4_LPS853_BSA_unlabeled_glucose8h,S5_LPS853_BSA_unlabeled_glucose8h,S6_LPS853_BSAandSA_unlabeled_glucose8h,S7_LPS853_BSAandSA_unlabeled_glucose8h,S8_LPS853_BSAandSA_unlabeled_glucose8h,S9_LPS853_BSA_U13C_labeled_glucose8h,S10_LPS853_BSA_U13C_labeled_glucose8h,S11_LPS853_BSAU13C_labeled_glucose8h,S12_LPS853_BSAandSA_U13C_labeled_glucose8h,S13_LPS853_BSAandSA_U13C_labeled_glucose8h,S14_LPS853_BSAandSA_U13C_labeled_glucose8h,S15_LPS853_BSA_U13C_labeled_glucose4h,S16_LPS853_BSA_U13C_labeled_glucose4h,S17_LPS853_BSA_U13C_labeled_glucose4h,S18_LPS853_BSAandSA_U13C_labeled_glucose4h,S19_LPS853_BSAandSA_U13C_labeled_glucose4h,S20_LPS853_BSAandSA_U13C_labeled_glucose4h,S21_LPS853_BSA_U13C_labeled_glucose2h,S22_LPS853_BSA_U13C_labeled_glucose2h,S23_LPS853_BSA_U13C_labeled_glucose2h,S24_LPS853_BSAandSA_U13C_labeled_glucose2h,S25_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h_redo,Burn_inQCpool1,Burn_inQCpool2,Burn_inQCpool3,Burn_inQCpool4,Noinj_Blank_2,Noinj_Blank_redo26_2,qcpool_redo26_1,qcpool_redo26_2,qcpool_redo26_3,qcpool_redo26_4,qcpool_redo26_5,qcpool2,qcpool3,qcpool4,qcpool5
Adenosine triphosphate_6,11667.08003,8355.543164,11348.59475,9792.286677,16857.22673,14903.77673,6937.332625,7355.449292,19760.27991,16754.55125,402619.521,485158.6366,455230.944,187868.7761,323836.0027,323142.988,313565.098,265549.7207,338959.3903,210994.9998,207900.6767,247606.3316,100301.9157,122012.228,101634.1107,122000.6996,163665.5814,156504.9315,154422.9658,185373.9381,180570.7411,194987.9546,187952.1691,5039.916004,7931.648657,172038.8364,159763.2519,166265.1986,183251.5262,171750.2235,187577.0532,172854.1429,161562.1029,137894.9497
Adenosine triphosphate_7,8546.346959,14955.40638,7721.204934,9634.959125,10757.51325,9401.747918,11973.66467,14740.83101,14267.16481,12787.24694,129389.018,164600.1936,141950.8251,55911.47338,120458.3628,110010.606,101749.9541,102343.0581,88034.78314,81524.13338,83394.3525,86519.40326,49719.56869,38070.59452,58250.34124,19528.60021,44876.94856,58801.79172,52883.92832,55860.81771,68012.68777,79493.71605,78103.07458,202.8204956,4302.026203,44452.92544,70314.43568,75619.98902,76366.99263,70355.02323,54400.48082,65422.30256,63064.03521,58047.315
Adenosine triphosphate_8,13525.63197,9575.926223,14047.73818,10716.87783,11254.7064,31926.70072,29907.53372,26747.3444,21039.20949,29303.08942,20979.69434,38314.27553,28187.53872,32356.58658,21861.7259,6197.963221,28992.65857,16005.18703,29372.8106,17867.42633,26628.3732,24232.04204,19.53890495,11672.10365,0,19871.71879,24832.50184,16531.97546,17722.7731,24666.08416,21265.99154,32460.15997,23361.72064,10597.98755,8178.853284,12676.73514,27944.78964,20205.57083,28093.35248,15768.25226,26487.84599,29784.38855,14733.15648,28458.47477
Adenosine triphosphate_9,13721.03603,773.465462,13367.20169,12692.90671,14067.5751,20702.65376,16837.30609,15123.22707,8659.130564,15735.58453,14403.62554,13857.24745,17757.5079,10444.04774,14072.49994,8431.506425,15648.76245,4575.741301,2822.941894,12688.51933,8256.447551,16818.24528,11797.10881,12377.21814,9764.825988,4683.462716,13172.47551,17170.40808,11168.96204,12221.57616,12730.22833,5009.919212,20524.8048,15835.71079,13897.32005,4311.936623,0,16769.87303,15217.4108,1095.599556,13272.19771,10784.64763,8332.829864,7861.300591
Adenosine triphosphate_10,15896.95281,6198.207302,9782.178591,17987.85699,11753.46157,12253.28548,14108.47469,14472.23467,13399.58446,13275.32453,15178.92339,9290.205766,7946.743688,11984.75072,14913.45429,15297.4406,3815.737887,4644.257546,7708.845204,15992.38162,7491.216251,15051.59471,9099.04637,11191.57678,13782.62575,14852.08885,13583.55555,12879.5793,9020.162766,5732.241065,13441.16512,5506.030704,13980.55253,14704.22441,7697.142927,14802.93751,10611.79319,11976.39961,13570.46251,7425.483244,12352.1027,14893.1651,8694.163151,16022.87118
Cyclic adenosine monophosphate_0,6508.098234,4740.140214,5016.965425,3892.82905,36526.39603,36483.40643,33090.39989,25749.0853,39383.86894,31433.45621,18956.43704,22142.96155,19638.34113,10412.15495,12484.61117,18636.28918,24161.5424,29346.55447,28342.94028,18490.17354,20236.77326,23637.84328,23981.29013,21741.3128,20753.33118,24440.13265,33822.2835,26935.87568,21373.09701,24326.99182,24821.16852,20486.91194,24828.62352,4578.613676,5634.132412,24303.3317,16406.55259,29258.65472,22094.79858,23679.91237,24276.81496,26958.69978,25262.56545,19123.31604
Cyclic adenosine monophosphate_1,7291.736587,5034.463618,4627.374351,8679.227223,0,9965.991159,8240.130759,9314.722139,7509.364348,7610.325777,10197.29275,10658.21989,6002.942307,9334.281826,8817.792418,12333.10555,378.1634535,9478.624724,9159.793046,11743.59668,8520.51271,1799.681376,4213.910045,4727.62512,0,629.706649,5643.029964,7185.249315,6243.731741,3171.18874,8238.778224,774.0441815,8530.850222,4712.978078,3663.386906,1364.025246,5649.106928,8546.474029,10991.68018,10726.61429,10298.92859,8057.615137,11302.42136,8633.202173
Cyclic adenosine monophosphate_2,4692.674934,1664.863976,6074.268296,3787.556646,8150.571249,4995.961463,5180.258597,0,5122.97034,6747.888644,4084.581599,6696.373526,5758.272379,2505.04773,7020.670843,4543.570823,4138.356028,9852.666996,4911.304838,3924.276916,2410.168184,3115.534443,1567.593086,1023.758399,3919.535002,5051.513033,2594.167561,6421.88173,3022.427373,3622.802527,1304.133576,1321.387965,953.749629,1310.721278,5856.655217,7894.019035,6904.906165,0,5190.099241,5502.901185,3901.587106,1309.933711,3138.316283,3263.092529
Cyclic adenosine monophosphate_3,4538.406329,5554.060622,2318.859811,6045.748653,6198.041524,6083.826718,4617.202977,5400.999883,7685.824062,5568.478148,7121.93575,4218.022527,1927.009994,2716.91386,4200.848025,5157.864592,4617.650359,6604.98121,8188.998145,4595.793831,624.5928309,6328.615163,8056.257352,2174.494066,6015.707669,3874.190905,5776.865865,4343.030626,4298.124111,6107.228493,4756.70287,7404.488235,6272.152952,1499.477802,2501.51925,4675.164031,4939.853094,3793.37321,471.9318469,3334.840019,4898.624242,3763.519358,3584.722554,7889.70488
Cyclic adenosine monophosphate_4,4409.398962,2957.874267,5228.161562,4627.2477,3898.171454,6252.322176,4336.750581,5176.915341,3495.687822,6834.855782,2897.701818,3981.22036,9638.778589,4918.826293,5036.335628,4442.745169,7284.843391,9693.728831,1716.821387,4439.286508,7125.112311,5379.698095,0,3547.389343,9437.476423,7996.743445,8602.027173,5407.54863,8238.976009,6464.812863,5291.157962,4749.085467,8443.727574,9616.558054,3485.12637,5947.661603,4801.606221,0,9147.20075,3124.440756,7084.834062,8146.2214,4749.83032,6132.123226
