,S1_BSA_Blank_U13C_labeled_glucose,S1_BSA_Blank_unlabeled_glucose,S2_SA_Blank_U13C_labeled_glucose,S2_SA_Blank_unlabeled_glucose,S3_LPS853_BSA_unlabeled_glucose8h,S4_LPS853_BSA_unlabeled_glucose8h,S5_LPS853_BSA_unlabeled_glucose8h,S6_LPS853_BSAandSA_unlabeled_glucose8h,S7_LPS853_BSAandSA_unlabeled_glucose8h,S8_LPS853_BSAandSA_unlabeled_glucose8h,S9_LPS853_BSA_U13C_labeled_glucose8h,S10_LPS853_BSA_U13C_labeled_glucose8h,S11_LPS853_BSAU13C_labeled_glucose8h,S12_LPS853_BSAandSA_U13C_labeled_glucose8h,S13_LPS853_BSAandSA_U13C_labeled_glucose8h,S14_LPS853_BSAandSA_U13C_labeled_glucose8h,S15_LPS853_BSA_U13C_labeled_glucose4h,S16_LPS853_BSA_U13C_labeled_glucose4h,S17_LPS853_BSA_U13C_labeled_glucose4h,S18_LPS853_BSAandSA_U13C_labeled_glucose4h,S19_LPS853_BSAandSA_U13C_labeled_glucose4h,S20_LPS853_BSAandSA_U13C_labeled_glucose4h,S21_LPS853_BSA_U13C_labeled_glucose2h,S22_LPS853_BSA_U13C_labeled_glucose2h,S23_LPS853_BSA_U13C_labeled_glucose2h,S24_LPS853_BSAandSA_U13C_labeled_glucose2h,S25_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h_redo,Burn_inQCpool1,Burn_inQCpool2,Burn_inQCpool3,Burn_inQCpool4,Noinj_Blank_2,Noinj_Blank_redo26_2,qcpool_redo26_1,qcpool_redo26_2,qcpool_redo26_3,qcpool_redo26_4,qcpool_redo26_5,qcpool2,qcpool3,qcpool4,qcpool5
Glutamine_0,811845.8669,1876191.396,1862746.25,2941962.791,12733960.77,14762358.17,13614722.88,12387120.5,12524283.22,13773585.44,12191367.25,12393576.19,14870590.77,11265456.23,13081297.46,12823577.3,15109630.94,16607022.97,17942803.63,15499547.53,16505450.68,16390247.27,13305347.75,14659876.15,15938094.95,16106795.93,16741638.58,17281939.52,16394896.24,13539572.67,13435123.78,13364137.1,13221536.52,16228.13827,16745.21866,14110860.32,14448422.68,14503325.2,14439626.13,14789424.62,14525373.98,14209480.18,14027548.72,14039708.8
Glutamine_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333.443707,2614.628724,0,0,0,0,0,0,0,0,0
Glutamine_2,494.9972545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6967.775399,1364.990197,0,0,0,0,0,0,0,0,0
Glutamine_3,3242.715975,2806.288144,1941.685763,2982.892044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.0496634,1817.040311,0,0,0,0,0,0,0,0,0
Glutamine_4,2706.611427,2374.416831,3133.649471,1748.713983,3361.248701,3099.188263,4322.327984,2149.52201,3995.49972,3433.15391,2702.257466,3616.414424,2817.130934,2558.439829,4300.149967,3989.933267,2987.735919,2750.132525,3641.175509,2047.657377,2810.092755,3293.460758,2109.013414,1114.165875,3993.563306,1516.978206,3074.218252,4020.573503,1410.995629,2878.502438,2459.152599,3114.821067,3508.707434,3117.266987,3094.32437,3331.691491,3456.214926,2084.441996,3836.775672,4430.314845,2448.398379,3844.025688,1819.188245,2962.786881
Glutamine_5,3822.481702,2233.911421,3956.798987,4272.311561,2522.832677,5493.791141,3078.795981,2562.136413,3238.343023,4137.028558,5173.059009,2121.167152,4735.386897,3403.860835,4007.840259,2937.385091,3033.147636,4011.520062,3670.220193,4307.500403,4739.457091,2479.452905,2720.164109,5088.581813,2239.329396,1053.987353,3379.565662,4216.005293,3867.909437,3842.292133,2251.351133,3124.547199,2777.445284,2283.145946,712.6873922,2059.544294,5328.810998,3809.584209,2817.459828,3900.211546,2780.922054,2373.167344,3180.544042,2832.519542
Threonine_0,91265.07539,238722.9708,265481.1837,283580.9346,14312174.39,15831614.97,15122523.25,13290482.77,13958924.27,13990768.87,13825815.27,14411513.65,17905149.82,11985392.98,13998773.04,15178601.27,12759992.66,13780563.81,16341388.99,13657681.24,14554369.64,15498763.75,14177398.61,13986640.75,15076712.86,16202940.69,15606757.18,17202493.21,15249452.23,13870332.23,13493234.79,14015283.61,13939306.09,21191.32267,65870.39128,13572390.25,13649184.75,13904696.23,13976401.51,13840041.2,15123892.22,14453523.26,14227739.72,14271705.23
Threonine_1,1179.721227,1854.393373,4464.529007,2563.282788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571.945141,0,0,0,5275.671572,2681.27763,0,0,0,0,0,0,0,0,0
Threonine_2,1119.176323,1168.843771,1979.847925,1185.673215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944.265442,2076.766654,0,0,0,0,0,0,0,0,0
Threonine_3,2560.32998,1341.409974,1689.840104,1366.080211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066.590719,2214.694904,0,0,0,0,0,0,0,0,0
Threonine_4,2133.403365,771.9089237,3214.039952,2166.084591,1547.149184,2139.347919,1919.580559,2619.542444,1395.237684,3657.058176,2492.405814,2170.207001,1689.14981,2179.867865,2346.007626,2636.949907,3129.835048,2517.610624,53.73188411,840.9508622,2965.185459,1874.725311,2284.981025,4397.673701,4312.471963,2646.170648,3137.570603,1779.299485,1563.226472,1817.007025,1626.190162,1995.046665,2354.3737,2947.75333,1528.57785,1510.25268,839.7574396,1621.243588,3358.675271,3266.404443,3575.335046,2335.130281,3536.900406,765.4727777
Serine_0,102306.6978,133278.6824,429213.1428,191578.5952,1318074.526,1486972.457,1365150.119,1217822.036,1296713.538,1340706.47,1193514.718,1163276.881,1432783.255,1071029.098,1214410.842,1251087.968,1431978.643,1672791.011,1647894.849,1472643.904,1537210.651,1576515.659,1387173.417,1455003.175,1531555.641,1601656.59,1621051.498,1662796.183,1631992.828,1243251.498,1245308.52,1282135.555,1233520.64,48729.82666,39827.86535,1286764.044,1302304.937,1304681.454,1358099.401,1346738.849,1361743.328,1371963.916,1435056.915,1320767.005
Serine_1,1995.261948,4487.960225,1096.010727,2234.128566,0,1495.768066,0,0,0,0,32475.39376,56073.5892,41711.0636,31143.60141,34021.31535,45308.25767,34449.57405,39453.51308,36335.83951,40121.26594,33648.81077,33042.38567,21897.6839,25431.49726,27769.94416,19708.02496,15829.98077,25187.28811,32018.0636,22532.36697,29575.38624,17718.03901,28188.18692,791.3020668,1739.637097,31260.73628,17100.44637,20341.85184,30915.07263,28161.73532,22750.40043,22718.02042,18306.13869,25500.67743
Serine_2,1354.846625,1505.699272,0,1714.021504,0,0,0,0,0,0,19388.638,20709.72812,11888.59582,14708.53716,16381.28482,13692.42818,13752.43094,12945.77035,14058.18556,12081.98428,13406.01257,15301.98829,5821.312375,5823.131613,4348.542053,3030.891819,9811.45823,2523.658911,0,3311.019343,8726.127533,10326.32574,106.1923946,1149.636744,1701.366338,0,418.1548086,0,0,0,12351.35287,5278.901346,9552.638456,5790.788899
Serine_3,3041.537318,1883.459868,2903.302204,1611.711285,1288.099562,1554.041604,1114.565083,1305.253694,2197.605777,1773.78164,81273.70186,75629.70097,89454.8009,55542.2755,67273.55026,71628.83636,70860.29224,73735.62094,84165.3824,69784.82055,75422.5896,67272.91873,61248.32737,57785.62107,63288.51881,61710.59563,56149.80375,62582.87798,59703.35059,48187.52022,45286.05,45840.83259,46034.84176,2598.15375,617.5477903,44313.60486,46747.61488,49176.52359,45378.94727,49873.48632,49872.70436,44527.30924,49890.65502,47008.13102
Isoleucine_0,107355.974,236044.4794,301796.5804,536148.4792,7063271.939,8245706.757,7490395.496,6836889.536,7247295.734,7938757.656,6434452.825,6734306.692,8818933.856,6137666.814,7861008.347,7715066.581,7739157.02,8712957.602,9766010.033,8226379.626,9008556.689,8906449.99,6324091.607,7466137.186,8104653.341,8297333.439,8615181.813,8752894.99,8405289.019,7187886.323,6908639.027,7034418.932,7140724.754,12410.68939,10533.43464,7108917.298,7359533.875,7307562.167,7180012.594,7787198.256,7614049.021,7553170.789,7370988.344,7572530.416
Isoleucine_1,2939.063213,5779.086509,4175.620444,0,0,0,0,0,0,0,0,8453.902183,12040.32219,9480.181911,0,0,3099.304643,0,0,0,59.9393228,0,0,0,0,0,0,0,0,0,7314.35903,9481.39174,0,884.940765,2619.051577,7587.229338,0,0,0,869.2992104,1709.971999,0,982.7719275,0
Isoleucine_2,1552.657671,683.8522759,2514.614069,373.6146925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.6627747,1387.735116,0,0,0,0,0,0,0,0,0
Isoleucine_3,1746.252322,3009.536404,911.3341184,861.7202294,0,0,0,0,0,0,302.7886351,56.58649492,0,0,0,0,0,0,0,0,0,108.3813542,118.9346166,0,0,0,0,0,0,0,0,0,0,1405.081485,1184.342445,0,0,0,0,0,0,0,0,144.6438285
Isoleucine_4,2297.566224,1153.902138,1575.26385,2742.030442,1944.487903,1838.318093,1442.140663,1794.285844,1046.880653,1423.354941,1777.510522,3206.795959,1102.759695,1787.974469,2813.117475,1988.586461,179.5926086,1773.220465,1902.492689,1665.281574,2612.825062,1209.443589,1405.424291,1254.203034,3694.549243,2235.248426,1839.574235,3262.991064,1874.642709,1143.123285,2205.481403,2647.789647,1406.756822,1859.953094,1981.106483,1633.009659,1767.022417,1663.99642,2691.720002,1829.962477,1788.92843,2380.167839,2040.219485,2384.42351
Isoleucine_5,1538.437371,0,1833.468209,2194.107285,1702.658293,1536.443605,1854.54387,1350.047327,2418.427325,1812.923112,2404.109893,2302.352212,3406.386083,1289.206726,1510.900138,1115.78009,1978.117646,2313.675451,1777.426133,1996.930132,2256.65218,1513.889388,2523.667124,2303.511478,1694.017146,1971.502814,2744.744121,1406.133297,1543.409273,1434.126007,1646.451263,2218.904952,2390.479137,1956.222173,1213.96322,1657.56646,1624.559755,1439.43475,2279.450869,2164.157327,1173.934212,2051.499549,956.2423115,755.1113879
Isoleucine_6,2646.961534,1797.35532,1124.443929,1040.334264,2485.119137,2835.874392,2918.015404,3291.834209,1580.273405,3625.598407,2049.218625,2753.660765,1792.779075,1410.678512,3734.041284,1829.929727,2076.302275,1267.878484,1954.208984,1757.405994,2227.208626,2780.033462,1411.785114,2151.911691,1055.468894,1091.469455,919.209054,2063.967131,1517.50754,1399.215282,1524.001259,2154.74477,2442.554968,744.611616,1481.704963,2442.204758,2067.870699,951.7659991,1552.944747,706.0156169,351.9114723,1409.105369,2720.45798,1688.467901
Glutamic acid_0,377165.8699,362799.9651,1083614.674,223140.9659,51921266.2,59132584.31,53868823.71,48399611.75,48922758.61,50786159.12,45202245.33,46908157.45,51566125.42,40158484.94,46695184.51,47961304.69,53251207.97,56251075.51,59288252.75,53989542.3,56839609.72,55009080.74,51424871.48,53885748.45,56601109.99,57325902.59,58853904.37,59859709.11,55120416.28,47226278.01,46887333.35,46830197.14,46356752.69,352344.5873,676310.7076,47427076.59,48526069.14,49032777.93,49807279.33,49768347.05,51941790.31,50815641.25,50976009.86,48535459.93
Glutamic acid_1,6019.777914,7127.749598,2145.781201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11315.10885,2741.864799,0,0,0,0,0,0,0,0,0
Glutamic acid_2,2600.176013,372.7867867,0,0,0,0,0,0,0,0,1924611.632,2025061.103,1843144.312,1277881.381,1536041.142,1440811.065,1270003.832,1208462.077,1159687.702,1179715.501,995721.6178,780090.6127,606828.7159,604456.1656,477542.2526,653579.2209,591624.5315,394407.0889,362858.8163,722996.1279,710731.4941,744227.063,726402.3461,0,6424.42035,693417.6627,692827.5602,724294.4868,701177.5558,706035.6164,710369.067,736780.5673,681068.049,727631.4889
Glutamic acid_3,2053.703195,3814.06552,1169.09427,8418.381679,0,0,0,0,0,0,94156.98273,102573.0352,86671.08211,124568.3366,133291.8533,93761.61238,72946.0739,55169.08718,56150.82143,108900.9806,105126.308,92963.07181,26609.80799,29298.33751,36230.7823,67037.20703,60018.48606,46023.63472,40520.49794,60896.71731,58859.53187,52596.15984,37132.68816,2268.842121,1766.566735,46159.49526,51710.64206,63435.54397,61669.96519,63440.3672,62494.80309,61135.94437,50253.60333,42381.8846
Glutamic acid_4,3891.050219,2858.930237,1491.583139,1554.513339,0,0,0,0,0,0,160133.5946,149537.3662,117193.0298,88946.82166,117895.3201,85504.18153,89910.54149,81483.7024,74968.16405,92151.16229,72242.50518,54366.41253,45312.65139,51561.09599,34940.65867,49763.96018,45106.34675,34502.65961,25843.96613,57734.13196,57110.64443,59445.9108,50985.22887,2068.135813,1710.782913,52009.44585,50250.34347,54885.66852,58937.06462,54417.80304,58515.58833,52248.8528,54004.2977,53058.62698
Glutamic acid_5,1598.359299,1903.897223,3437.965561,1933.986732,3764.172758,3369.18506,1314.430332,2561.079445,1171.041137,1919.104585,78078.47426,75460.41987,63148.52788,39816.53839,48859.90412,41845.23216,59750.09839,53607.49434,44278.05536,37599.48206,36159.81788,25628.51007,28805.93241,30964.16662,24142.36126,25641.62503,28701.25969,18362.0357,17768.70118,34129.6684,31340.28872,29957.88761,27907.95931,641.335493,2875.299428,26850.79221,26864.68659,32709.16198,28009.84641,29512.76147,32961.8769,27056.47182,36697.91886,28043.11932
Methionine_0,21495.18517,73857.22932,65518.45118,119669.4994,2108918.437,2758008.937,2385899.279,2171797.901,2266449.805,2458972.212,1885024.57,2077063.984,2765703.662,1909836.191,2468488.87,2345793.872,2336989.128,2504757.896,2957398.859,2498055.19,2785397.698,2661254.545,2145529.477,2591791.775,2735110.789,2720039.421,3025507.795,2997457.59,2621008.079,2103406.007,2141842.746,2047525.199,2069321.65,4764.219944,2644.839939,2193296.768,2285663.013,2261107.246,2353215.471,2276633.266,2356479.408,2387646.544,2538507.611,2512163.079
Methionine_1,8323.625366,14113.77935,11451.65595,11040.8882,44143.69483,0,2582.330261,0,0,0,40260.28823,25353.55756,0,12494.11093,0,18688.7695,0,0,0,0,9374.418063,4372.540458,14457.57182,4031.716221,0,0,0,3551.32157,0,399.8581304,364.950503,11358.19024,0,3868.4478,3751.981698,0,6519.992401,2546.96101,0,0,735.3761,1653.731833,4362.410608,0
Methionine_2,1732.798659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225.206603,2138.023225,0,0,0,0,0,0,0,0,0
Methionine_3,4473.527876,3780.345402,3210.912266,1857.788412,0,0,0,0,0,0,148899.685,156359.3856,323251.5861,171963.0774,199729.7507,221106.1098,193576.9595,231912.5494,262397.715,152010.1077,251024.0281,250493.1824,109333.7012,117926.4408,146834.0762,142060.5365,153207.3155,124621.8786,155077.357,121640.3089,130973.9723,123633.2471,124663.6131,2501.5466,571.1053838,131987.4209,111772.4657,105323.097,140265.632,141898.6528,108539.4921,120999.3364,144046.3809,96971.18831
Methionine_4,6136.79503,6949.50476,10028.67989,9327.210057,11410.08056,4362.041958,7782.380425,10695.08189,1965.226765,11541.11189,15781.61601,20640.25588,19548.34152,8974.108471,24337.77421,2148.071158,958.0027863,7349.187758,6199.614108,5531.991707,15967.61702,8105.472207,12423.00361,0,2620.068514,9791.39437,3050.296262,10947.64654,0,0,10450.12824,4738.321544,15620.25116,2812.654548,710.2337131,16009.58307,5982.801665,8069.145072,9925.600797,28909.66288,6004.84136,2165.13466,14022.98225,21768.14665
Methionine_5,4362.488127,0,2557.935545,2916.457697,3212.213931,1538.361376,2252.921229,2281.590591,3339.338896,2620.36437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867.369179,1527.488297,0,0,0,0,0,0,0,0,0
Alanine_0,4534.906758,20173.8209,37057.77184,12434.74112,2903785.758,2518728.428,2579877.039,2447611.255,2508634.114,2699207.039,1488753.521,1613150.407,1622546.73,1536850.98,1818967.255,1789600.273,1533761.262,1691763.094,1799039.189,1779763.43,1865874.183,1848738.935,1669017.559,1769948.335,1794821.733,1989379.143,2136200.532,2049609.088,1992850.64,1788565.482,1766190.968,1757106.015,1706692.976,14904.5907,13581.10797,1883148.198,1884034.603,2004296.672,2033274.884,1960834.916,1879941.255,1932050.38,2002596.633,1931122.743
Alanine_1,2062.126054,5539.395875,4252.135566,14805.23264,2189.484007,0,0,0,3779.132706,13113.90687,0,20734.29976,56139.00414,5285.059339,41570.04348,12824.66595,32769.22463,38378.69362,39409.21013,23807.06184,31230.60151,37087.57552,8240.053007,14932.52441,61523.63168,14647.80699,47195.52911,1690.585017,53068.38953,5376.963094,1337.314252,7877.01548,0,1766.098901,2541.82749,0,34279.96358,22846.8303,0,28990.25346,30605.24109,960.0285522,35627.71517,29003.86146
Alanine_2,136.2741673,785.9775488,697.5535428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.4521328,297.688377,0,0,0,0,0,0,0,0,0
Alanine_3,1186.369708,1125.051726,1129.428329,953.8965208,1570.174825,0,0,349.8788674,1100.542433,1751.012393,689944.9764,738456.8632,787774.5827,613709.6997,800470.7004,839658.7903,619337.06,649108.545,703328.5467,676561.0872,658278.403,631999.3699,468407.1329,484139.0382,492227.9092,534465.3233,518673.6829,507453.8857,480205.4656,422888.6494,415498.8649,431135.2978,424039.3902,806.9905137,1435.098505,422379.4601,446258.2912,479072.1439,470117.0977,451850.6478,456350.1534,450415.2427,453682.1193,431052.1105
Proline_0,3279.215849,2316.275469,10232.22195,3047.580699,2460853.446,2899794.784,2575028.004,2703707.249,2988528.979,3369622.604,1864898.401,2087895.201,2430479.843,2268737.001,2777180.721,2742363.771,2247258.61,2265858.165,2785495.006,2645472.034,2833250.282,2810375.821,1818398.941,2074899.206,2156902.786,2315940.523,2375293.735,2378968.875,2105634.527,2226454.129,2190917.267,2175294.459,2256898.712,1532.756046,6100.448581,2167658.011,2234408.321,2249197.896,2272447.399,2293770.597,2258184.525,2312709.013,2270920.899,2279595.979
Proline_1,852.1935439,1346.293395,1044.814952,1206.271199,0,0,8717.735989,0,0,0,3227.043734,10859.81883,0,0,6916.102029,0,0,2279.546049,0,6149.600313,0,8301.358232,0,6246.630125,11157.27721,893.7859569,1098.442191,0,1698.161518,0,1990.46982,25.83106773,2399.442045,1499.893961,857.811755,3497.992288,3410.630563,3840.821122,4300.637409,0,4575.59513,1969.085011,23.40893624,0
Proline_2,758.9714139,2001.692619,2289.645893,1286.566943,0,0,0,0,0,0,68161.23527,88186.41637,79388.28803,56844.5116,73496.86565,66717.82952,48824.09879,36700.95427,39825.43856,40096.46078,34568.2472,34399.50694,7055.313349,11842.80538,7990.140921,19239.04859,5615.47368,8729.617999,4303.374694,28580.3795,21620.66321,22208.72566,17108.82715,1439.864391,389.8240565,28065.30329,24151.93463,30038.91169,18246.25757,31842.51726,22286.70869,17763.12175,21800.57499,19810.76903
Proline_3,1445.340881,1176.427668,2028.330131,2126.906017,1493.728024,1967.255816,535.6248305,1064.884104,0,403.3161901,8525.759283,5216.520118,26122.76884,12307.98856,20034.12823,17074.67361,7624.676881,7824.855876,27825.2667,11715.57369,8373.605567,22861.33898,5003.637433,10872.92789,13131.45067,6759.568159,13439.0858,10202.87368,7482.801379,12004.98868,8086.634734,9917.69188,5563.899773,1648.716052,1430.148507,2548.015907,3714.190994,3867.275861,10659.85477,7653.363076,11861.34726,11029.95935,7985.170948,14160.44611
Proline_4,1052.179775,1233.166075,1566.351311,1537.532856,1077.102238,1166.96397,2628.438773,1298.209329,1134.128878,1960.369299,7558.399616,5929.094367,3682.390845,4859.008373,3914.050585,3001.277571,3237.375649,1450.592431,2064.197056,4677.493295,3429.91309,2931.709537,1882.020162,4563.141638,2153.972122,2764.224898,920.9414222,2282.585121,2714.29068,3877.525771,2740.256218,2006.619112,3301.973661,1383.946883,410.7696075,3850.077377,3723.707331,1774.41013,3571.842011,2283.460267,594.0995635,3110.449036,3559.710555,677.731066
Proline_5,1458.998184,2213.744503,722.8409411,891.8028547,1333.447927,1906.071825,1142.116582,1428.162674,919.9829397,606.9068755,4031.241688,5129.472536,2490.328112,3057.909507,1816.445042,2906.843135,2651.975965,2319.411395,2994.354725,2627.600246,3431.962389,1586.584521,2620.225606,1393.85383,3187.154852,535.8714636,1247.21362,1752.098272,1600.511105,2472.745258,1736.923239,3187.605076,2254.101321,1400.534133,599.3571584,1535.823059,2431.343497,1298.566648,1301.781887,1884.800548,2358.537297,1895.84577,1245.163145,1155.665428
Phenylalanine_0,132140.5477,337099.6054,352009.3742,621797.2699,10047407.07,11867067.02,10992891.65,9883437.866,10502041.14,11445301.39,9200259.759,9597549.626,12567345.02,8781944.993,11240038.48,11084826.23,10731655.36,12792734.73,13896622,11514486.12,12645346.77,12404361.1,8907154.876,10318019.72,11390242.56,11348311.62,12402734.42,12433542.35,11714583.06,10214111.53,10165373.58,10173717.1,10008395.64,3407.09962,6906.476573,10496278.85,10540878.03,10736881.71,10533741.85,10998476.7,10706381.78,10872448.79,10793325.44,10805082.83
Phenylalanine_1,1993.477285,9136.463894,7794.958843,15164.37081,33830.00473,44772.32712,46762.7854,25334.04561,42370.8557,53462.29503,1783.154609,65190.94444,30201.22428,53645.53226,23196.4288,14881.82935,21831.62538,51549.69325,28190.53666,64785.19935,24413.19209,54666.46513,71819.22996,45920.76923,2128.365184,30975.79301,58490.00286,53025.22665,55934.33763,46493.40928,28785.92841,59089.21766,54529.04081,3575.797583,3090.781103,57962.68698,67239.55023,52949.02072,35390.07995,106011.6977,56436.66176,11722.32509,27973.3618,82150.95341
Phenylalanine_2,692.8696898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.2159675,154.0034648,0,0,0,0,0,0,0,0,0
Phenylalanine_3,5127.648887,1913.668055,6615.76678,6793.082732,203.3719256,0,0,5653.261299,1873.652113,0,2983.641443,3022.935752,0,2536.146525,7554.489714,7918.185092,6009.915278,809.4337147,0,2795.95762,2703.416539,5318.628136,4099.168806,5883.723305,0,2796.512109,0,0,0,0,550.7344286,5040.555833,4916.87585,6395.056411,2477.571879,1172.502763,3740.964304,3443.51556,4759.384549,2972.172276,0,3531.307003,6179.457127,6875.721019
Phenylalanine_4,3518.181414,1247.453435,223.0774431,0,533.3073053,2398.839186,2043.82526,1869.236731,1209.268662,2277.052199,2438.489663,1477.039745,1096.590532,436.923187,1858.716046,3366.381861,1795.920853,523.0730822,2074.086531,3340.7609,1949.425551,2878.449444,1183.342756,2231.697424,4367.011965,2768.001092,364.803973,1211.794264,2804.713119,748.0892627,932.8554723,933.8915024,2651.343342,190.8380402,877.4376561,2653.943944,2883.035126,972.6397077,1365.901402,2259.916493,2403.036891,2256.650253,872.1836896,593.1542418
Phenylalanine_5,15407.39171,13500.22227,3069.889731,9740.622295,15802.80097,5317.829194,8197.187687,2128.862488,18090.65556,15820.70909,10555.16215,15847.86851,16809.57962,16188.2828,18010.02647,21792.32279,13579.36197,19018.55707,16106.61369,3657.615925,12562.98709,15250.25652,15483.43664,16190.68877,14396.84508,18253.13121,18179.65874,13862.12441,10577.44911,13004.25891,20372.28109,17743.7993,14652.10901,8717.945165,14941.81778,9672.87331,10635.00889,15088.80659,15527.16178,17940.20009,3520.141579,14353.65707,16728.29756,16555.55931
Phenylalanine_6,7261.758906,3712.191828,7300.801331,6353.862246,5102.822534,5879.726672,9225.138119,10172.97348,9817.108923,6668.704193,8284.404679,6846.190678,9476.672249,10757.10359,9569.497742,6592.964713,6781.806031,12385.5189,12211.43433,11468.96695,8091.7228,9081.888402,6843.385726,454.8691052,2658.098053,5311.375765,12044.42921,1760.595218,3541.044072,7961.206839,8314.401539,5790.546788,7123.751113,4972.538684,4548.343231,9106.685503,7447.603232,2399.515005,7917.939185,8122.263661,9041.354205,6898.212448,8406.625664,3303.850623
Phenylalanine_7,1028.74664,0,2857.207862,0,744.3894595,568.179002,1352.335449,1556.555829,1614.190552,0,2561.268674,0,1508.587168,0,1550.000445,0,0,0,1760.230078,1114.899716,0,2940.030868,1870.80013,2099.807145,3372.234081,2588.208728,1026.887125,511.3157854,0,65.59429747,1202.134007,1957.522903,1511.485921,0,860.6008487,1385.422343,1677.190423,135.8197021,1311.340581,0,718.1211483,0,2292.026318,869.7157685
Phenylalanine_8,23265.95643,26963.26266,15980.95165,26261.62514,27541.43147,30836.71528,9295.900014,12426.14451,22777.04734,21891.02123,29917.88309,27851.46857,26891.06516,17835.57485,8046.196857,31668.41279,20764.89081,28647.87997,4861.127094,24453.50418,22332.75051,16255.52145,16752.2978,5561.277024,2404.864265,16223.95175,7345.987128,21216.8444,30546.09311,32469.05867,3575.508113,14603.9604,8067.701906,25527.90293,23497.31143,1596.892908,5746.590661,24644.05571,5405.881828,34754.48732,9204.951418,24111.99169,3671.821333,10191.52545
Phenylalanine_9,3575.269939,3751.995071,1322.415199,4717.508635,7114.433298,7494.94771,3725.078688,4705.498314,4920.748891,3955.094153,4416.498249,5090.500775,5108.270336,6244.865661,2666.782982,4406.787058,2781.399668,3963.754716,3445.047018,5112.186227,4987.586229,4551.025215,4690.197591,6767.053014,6880.659006,4218.887304,4593.015835,6495.57627,3633.849619,3432.008255,4967.947737,6726.006288,4592.807778,5966.079842,3348.248949,3412.74421,4231.218861,4261.625248,2014.320784,4207.27733,3236.667141,3544.57616,6765.855389,3673.185972
Aspartic acid_0,350181.4257,293246.5544,1175573.282,203865.1616,23164497.07,25908420.38,23598873.84,21664466.54,22748320.97,21094477.56,22313182.4,23133538.95,23335327.88,19792851.97,20784921.22,22201142.16,24776154.81,26746593.08,27220879.56,24707685.87,25028246.39,24471526.68,26798347.58,26658247.2,27917428.31,25349951.35,24585866.97,26056482.65,22093434.26,21981029.36,21665403.65,22367708.75,21831029.39,297854.3073,400155.422,20073829.85,20060019.48,20483044.02,21054561.73,20786160.4,23765252.79,24181878.16,23902074.5,22298183.17
Aspartic acid_1,377.9475458,5549.419636,0,4484.548169,0,0,0,0,0,0,17310.80129,33801.70118,0,4230.70834,19355.95472,41496.11878,728.5070476,0,0,9469.824418,39133.48368,0,0,0,0,0,0,0,3605.436063,0,10706.79378,6798.892392,6253.156797,512.0231921,6293.921267,0,8387.788064,11377.62258,6468.998247,0,0,0,0,0
Aspartic acid_2,2025.329036,5166.570265,0,3414.935732,0,0,0,0,0,0,673240.7093,710872.9184,591806.4573,498239.4795,530516.2024,539784.9452,369930.7788,296807.3589,299000.903,387700.1962,286681.8657,250031.3545,128045.7649,119759.5507,3640.693736,161991.532,142676.3379,17442.44273,0,221962.7531,215885.123,223581.9657,207638.086,2417.447588,6067.744322,178947.6188,184459.0946,190361.4512,189051.5686,174300.2648,206791.1458,186087.5667,198012.0312,179632.6158
Aspartic acid_3,2001.959845,1394.144767,890.3446103,2239.820562,0,0,0,0,0,0,1012094.798,1060239.566,955673.2683,618090.3182,660861.4425,657257.459,969707.5857,1013705.783,1030520.175,718819.5128,728234.2965,681007.0035,904605.5712,890872.5946,887951.7162,678477.8409,689835.5462,710750.7818,597796.8256,547673.4964,566203.4107,559941.0825,553423.2607,2680.488789,1758.273639,533366.4158,531160.5853,548230.4612,550170.6098,567458.1227,622975.3321,618763.9008,622332.6419,578675.508
